Column,centro_nro_registro,centro_tipo,alergologia,same_as_alergologia,cardiologia,same_as_cardiologia,cirugia_mayor_ambulatoria,cirugia_menor_ambulatoria,dermatologia,same_as_dermatologia,endocrinologia,same_as_endocrinologia,enfermeria,same_as_enfermeria,farmacia,same_as_farmacia,fisioterapia,same_as_fisioterapia,medicina_general,same_as_medicina_general,neumologia,same_as_neumologia,neurologia,same_as_neurologia,nutricion_y_dietetica,same_as_nutricion_y_dietetica,oncologia,same_as_oncologia,otorrinolaringologia,same_as_otorrinolaringologia,pediatria,same_as_pediatria,psicologia_clinica,same_as_psicologia_clinica,psiquiatria,same_as_psiquiatria,rehabilitacion,same_as_rehabilitacion,urgencias,same_as_urgencias,vacunacion,same_as_vacunacion,direccion_completa,direccion_vial_tipo,direccion_vial_nombre,direccion_vial_nro,direccion_codigo_postal,municipio_nombre,same_as_municipio,localizacion_coordenada_x,localizacion_coordenada_y
13,CH0024,Hospital general,allergology,https://www.wikidata.org/wiki/Q1046686,cardiology,https://www.wikidata.org/wiki/Q10379,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatology,https://www.wikidata.org/wiki/Q171171,endocrinology,https://www.wikidata.org/wiki/Q162606,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,pulmonology,https://www.wikidata.org/wiki/Q203337,neurology,https://www.wikidata.org/wiki/Q83042,nutricionydietectica,https://www.wikidata.org/wiki/Q6047211,oncology,https://www.wikidata.org/wiki/Q162555,otolaryngology,https://www.wikidata.org/wiki/Q189553,pediatrics,https://www.wikidata.org/wiki/Q123028,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,urgencias,https://www.wikidata.org/wiki/Q1295316,vaccination,https://www.wikidata.org/wiki/Q192995,Calle del Doctor Esquerdo 83 28007 Madrid,Calle,del Doctor Esquerdo,83,28007,Madrid,https://www.wikidata.org/wiki/Q2807,443291,4474370
18,CH0029,Hospital general,allergology,https://www.wikidata.org/wiki/Q1046686,cardiology,https://www.wikidata.org/wiki/Q10379,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatology,https://www.wikidata.org/wiki/Q171171,endocrinology,https://www.wikidata.org/wiki/Q162606,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,pulmonology,https://www.wikidata.org/wiki/Q203337,neurology,https://www.wikidata.org/wiki/Q83042,nutricionydietectica,https://www.wikidata.org/wiki/Q6047211,oncology,https://www.wikidata.org/wiki/Q162555,otolaryngology,https://www.wikidata.org/wiki/Q189553,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,urgencias,https://www.wikidata.org/wiki/Q1295316,vaccination,https://www.wikidata.org/wiki/Q192995,Calle de Diego de León 62 28006 Madrid,Calle,de Diego de León,62,28006,Madrid,https://www.wikidata.org/wiki/Q2807,442689,4476189
19,CH0030,Otros centros con internamiento,allergology,https://www.wikidata.org/wiki/Q1046686,cardiology,https://www.wikidata.org/wiki/Q10379,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatology,https://www.wikidata.org/wiki/Q171171,endocrinology,https://www.wikidata.org/wiki/Q162606,nursing,https://www.wikidata.org/wiki/Q121176,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,pulmonology,https://www.wikidata.org/wiki/Q203337,neurology,https://www.wikidata.org/wiki/Q83042,,,,,otolaryngology,https://www.wikidata.org/wiki/Q189553,pediatrics,https://www.wikidata.org/wiki/Q123028,,,psychiatry,https://www.wikidata.org/wiki/Q7867,,,urgencias,https://www.wikidata.org/wiki/Q1295316,,,Calle de San Bernabé 13 28005 Madrid,Calle,de San Bernabé,13,28005,Madrid,https://www.wikidata.org/wiki/Q2807,439426,4473404
20,CH0031,Hospital general,allergology,https://www.wikidata.org/wiki/Q1046686,cardiology,https://www.wikidata.org/wiki/Q10379,,,dermatology,https://www.wikidata.org/wiki/Q171171,endocrinology,https://www.wikidata.org/wiki/Q162606,,,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,pulmonology,https://www.wikidata.org/wiki/Q203337,neurology,https://www.wikidata.org/wiki/Q83042,,,oncology,https://www.wikidata.org/wiki/Q162555,otolaryngology,https://www.wikidata.org/wiki/Q189553,,,,,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,urgencias,https://www.wikidata.org/wiki/Q1295316,,,Plaza del Conde del Valle de Súchil 16 28015 Madrid,Plaza,del Conde del Valle de Súchil,16,28015,Madrid,https://www.wikidata.org/wiki/Q2807,440050,4475873
22,CH0034,Hospital general,allergology,https://www.wikidata.org/wiki/Q1046686,cardiology,https://www.wikidata.org/wiki/Q10379,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatology,https://www.wikidata.org/wiki/Q171171,endocrinology,https://www.wikidata.org/wiki/Q162606,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,pulmonology,https://www.wikidata.org/wiki/Q203337,neurology,https://www.wikidata.org/wiki/Q83042,nutricionydietectica,https://www.wikidata.org/wiki/Q6047211,oncology,https://www.wikidata.org/wiki/Q162555,otolaryngology,https://www.wikidata.org/wiki/Q189553,pediatrics,https://www.wikidata.org/wiki/Q123028,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,urgencias,https://www.wikidata.org/wiki/Q1295316,vaccination,https://www.wikidata.org/wiki/Q192995,Calle del Doctor Esquerdo 46 28007 Madrid,Calle,del Doctor Esquerdo,46,28007,Madrid,https://www.wikidata.org/wiki/Q2807,443166,4474478
23,CH0037,Hospital especializado,allergology,https://www.wikidata.org/wiki/Q1046686,cardiology,https://www.wikidata.org/wiki/Q10379,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatology,https://www.wikidata.org/wiki/Q171171,,,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,nutricionydietectica,https://www.wikidata.org/wiki/Q6047211,oncology,https://www.wikidata.org/wiki/Q162555,otolaryngology,https://www.wikidata.org/wiki/Q189553,pediatrics,https://www.wikidata.org/wiki/Q123028,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,urgencias,https://www.wikidata.org/wiki/Q1295316,vaccination,https://www.wikidata.org/wiki/Q192995,Avda de Menéndez Pelayo 65 28009 Madrid,Avda,de Menéndez Pelayo,65,28009,Madrid,https://www.wikidata.org/wiki/Q2807,442574,4473916
24,CH0038,Hospital de media y larga estancia,,,,,,,,,,,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,neurology,https://www.wikidata.org/wiki/Q83042,nutricionydietectica,https://www.wikidata.org/wiki/Q6047211,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,,,,,Calle del Pinar de San José 98 28054 Madrid,Calle,del Pinar de San José,98,28054,Madrid,https://www.wikidata.org/wiki/Q2807,434227,4468202
25,CH0039,Hospital general,allergology,https://www.wikidata.org/wiki/Q1046686,cardiology,https://www.wikidata.org/wiki/Q10379,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatology,https://www.wikidata.org/wiki/Q171171,endocrinology,https://www.wikidata.org/wiki/Q162606,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,pulmonology,https://www.wikidata.org/wiki/Q203337,neurology,https://www.wikidata.org/wiki/Q83042,nutricionydietectica,https://www.wikidata.org/wiki/Q6047211,oncology,https://www.wikidata.org/wiki/Q162555,otolaryngology,https://www.wikidata.org/wiki/Q189553,pediatrics,https://www.wikidata.org/wiki/Q123028,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,,,urgencias,https://www.wikidata.org/wiki/Q1295316,vaccination,https://www.wikidata.org/wiki/Q192995,Calle de La Maso 38 28034 Madrid,Calle,de La Maso,38,28034,Madrid,https://www.wikidata.org/wiki/Q2807,439378,4482327
26,CH0041,Hospital general,allergology,https://www.wikidata.org/wiki/Q1046686,cardiology,https://www.wikidata.org/wiki/Q10379,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatology,https://www.wikidata.org/wiki/Q171171,endocrinology,https://www.wikidata.org/wiki/Q162606,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,pulmonology,https://www.wikidata.org/wiki/Q203337,neurology,https://www.wikidata.org/wiki/Q83042,nutricionydietectica,https://www.wikidata.org/wiki/Q6047211,oncology,https://www.wikidata.org/wiki/Q162555,otolaryngology,https://www.wikidata.org/wiki/Q189553,pediatrics,https://www.wikidata.org/wiki/Q123028,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,urgencias,https://www.wikidata.org/wiki/Q1295316,vaccination,https://www.wikidata.org/wiki/Q192995,Paseo de la Castellana 261 28046 Madrid,Paseo,de la Castellana,261,28046,Madrid,https://www.wikidata.org/wiki/Q2807,441826,4481289
27,CH0042,Hospital especializado,,,cardiology,https://www.wikidata.org/wiki/Q10379,cirugiamayoriaambulatoria,cirugiamenorambulatoria,,,,,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,neurology,https://www.wikidata.org/wiki/Q83042,,,,,otolaryngology,https://www.wikidata.org/wiki/Q189553,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,urgencias,https://www.wikidata.org/wiki/Q1295316,,,Calle de Joaquín de Cárdenas 2 28823 Coslada,Calle,de Joaquín de Cárdenas,2,28823,Coslada,https://www.wikidata.org/wiki/Q164197,454922,4476355
28,CH0043,Hospital de media y larga estancia,,,,,,,,,,,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,,,,,rehabilitation,https://www.wikidata.org/wiki/Q2795791,,,,,Paseo Molino del Rey 2 28440 Guadarrama,Paseo,Molino del Rey,2,28440,Guadarrama,https://www.wikidata.org/wiki/Q517450,408212,4502637
32,CH0047,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,,,,,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,,,,,vaccination,https://www.wikidata.org/wiki/Q192995,Calle de los Jardines 1 28350 Ciempozuelos,Calle,de los Jardines,1,28350,Ciempozuelos,https://www.wikidata.org/wiki/Q1751930,447244,4445277
34,CH0050,Hospital general,allergology,https://www.wikidata.org/wiki/Q1046686,cardiology,https://www.wikidata.org/wiki/Q10379,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatology,https://www.wikidata.org/wiki/Q171171,endocrinology,https://www.wikidata.org/wiki/Q162606,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,pulmonology,https://www.wikidata.org/wiki/Q203337,neurology,https://www.wikidata.org/wiki/Q83042,nutricionydietectica,https://www.wikidata.org/wiki/Q6047211,oncology,https://www.wikidata.org/wiki/Q162555,otolaryngology,https://www.wikidata.org/wiki/Q189553,pediatrics,https://www.wikidata.org/wiki/Q123028,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,urgencias,https://www.wikidata.org/wiki/Q1295316,vaccination,https://www.wikidata.org/wiki/Q192995,Calle de Serrano 199 28016 Madrid,Calle,de Serrano,199,28016,Madrid,https://www.wikidata.org/wiki/Q2807,442214,4478184
35,CH0051,Hospital general,,,cardiology,https://www.wikidata.org/wiki/Q10379,cirugiamayoriaambulatoria,cirugiamenorambulatoria,,,endocrinology,https://www.wikidata.org/wiki/Q162606,nursing,https://www.wikidata.org/wiki/Q121176,pharmacy,https://www.wikidata.org/wiki/Q614304,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,pulmonology,https://www.wikidata.org/wiki/Q203337,,,nutricionydietectica,https://www.wikidata.org/wiki/Q6047211,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,,,,,Calle del Maestro Vives 2 28009 Madrid,Calle,del Maestro Vives,2,28009,Madrid,https://www.wikidata.org/wiki/Q2807,443051,4474784
38,CH0054,Hospital de media y larga estancia,,,,,,,,,,,nursing,https://www.wikidata.org/wiki/Q121176,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,,,rehabilitation,https://www.wikidata.org/wiki/Q2795791,,,,,Calle del Puerto de Lumbreras 5 28031 Madrid,Calle,del Puerto de Lumbreras,5,28031,Madrid,https://www.wikidata.org/wiki/Q2807,447452,4470239
39,CH0057,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,,,,,nursing,https://www.wikidata.org/wiki/Q121176,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,,,,,,,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,,,urgencias,https://www.wikidata.org/wiki/Q1295316,,,Calle del Doctor Juan José López Ibor 2 28035 Madrid,Calle,del Doctor Juan José López Ibor,2,28035,Madrid,https://www.wikidata.org/wiki/Q2807,438579,4480017
40,CH0059,Hospital especializado,,,cardiology,https://www.wikidata.org/wiki/Q10379,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatology,https://www.wikidata.org/wiki/Q171171,endocrinology,https://www.wikidata.org/wiki/Q162606,nursing,https://www.wikidata.org/wiki/Q121176,,,physiotherapy,https://www.wikidata.org/wiki/Q186005,,,pulmonology,https://www.wikidata.org/wiki/Q203337,,,nutricionydietectica,https://www.wikidata.org/wiki/Q6047211,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,rehabilitation,https://www.wikidata.org/wiki/Q2795791,,,,,Calle de Francisco Silvela 40 28028 Madrid,Calle,de Francisco Silvela,40,28028,Madrid,https://www.wikidata.org/wiki/Q2807,442942,4476050
41,CH0060,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,,,,,nursing,https://www.wikidata.org/wiki/Q121176,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,,,,,vaccination,https://www.wikidata.org/wiki/Q192995,Calle Luna 1 28911 Leganés,Calle,Luna,1,28911,Leganés,https://www.wikidata.org/wiki/Q77433,434789,4464364
42,CH0061,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,,,,,nursing,https://www.wikidata.org/wiki/Q121176,,,,,Medicina General y de Familia,https://www.wikidata.org/wiki/Q96728931,,,,,,,,,,,,,psicologiaclinica,https://www.wikidata.org/wiki/Q9418,psychiatry,https://www.wikidata.org/wiki/Q7867,,,urgencias,https://www.wikidata.org/wiki/Q1295316,,,Calle de López de Hoyos 259 28043 Madrid,Calle,de López de Hoyos,259,28043,Madrid,https://www.wikidata.org/wiki/Q2807,443891,4478682
